Region Unit,18-23,24-29,30-35,36-41,42-47,48-53,54-59,60-65,66-70,71 plus
2nd Athens,96496,100966,134525,154951,163611,150925,138184,117229,93633,280637
1st Athens,23785,27771,36580,42217,44125,42889,43333,41784,36773,138048
1st Thessaloniki,36739,39330,51365,57205,58952,54490,48600,41633,31991,94117
Attikis,35286,36959,47548,52791,51913,46506,43424,38797,31383,74538
2nd Pireus,17695,19565,26035,28076,27613,26121,24996,21916,18713,61779
Messinias,11082,13190,16026,15667,16889,17364,18277,17439,15047,58907
Serron,16639,17341,20005,22058,22710,22673,22800,19804,16053,53728
1st Pireus,11109,12929,16788,18608,18707,17961,17886,16879,14925,53544
Larissa,18474,19834,24552,25496,25691,23361,23208,20322,16664,53522
Achaia,20538,22898,28902,29367,29160,26596,25994,23532,18007,53443
Aitoloakardania,17987,19773,23173,23144,23695,22648,22713,20496,16141,52189
2nd Thessaloniki,22597,21835,27473,30881,32809,30040,26915,23015,18966,50530
Lakonias,5692,6634,8372,8781,9791,10246,10695,11031,9646,47794
Lesvou,7117,7423,9101,9757,10744,10119,9786,9985,10354,46549
Irakleiou,19645,21383,26656,28343,27512,23308,21917,19923,16533,46088
Euvoias,13785,15523,19491,19947,20267,19064,18831,16949,14544,45054
Arkadias,6933,7693,9402,9582,10514,10947,11849,11655,9985,42470
Ioanninon,10405,12009,16252,16670,16359,15008,16479,15706,12707,41003
Ileias,11945,13544,15835,15679,16059,15721,16913,15953,12647,40778
Magnisias,12089,13548,17052,17081,17511,16340,16470,14497,12470,39169
Kozanis,11438,12649,15115,15350,16604,16278,15937,13442,9717,38061
Evrou,11630,12194,14917,15426,16240,15620,16263,13718,11335,36510
Fthiotidos,9965,11190,13682,14094,14986,14007,14335,12344,10769,36442
Dodekanisa,14151,14638,17643,18502,18941,16572,16254,17203,14184,35644
Florina,4270,4580,5516,5678,6554,7283,7850,7571,6605,34088
Korinthias,8695,9671,12436,13525,13712,12887,12931,12736,10667,33915
Kavalas,10335,10412,12574,14004,14940,14261,12961,12033,9949,33894
Karditsa,9167,10347,12169,12544,12487,12073,12869,11589,10385,32107
Trikala,10498,11407,14087,15046,14851,13678,14008,13437,11346,31950
Kyklades,8337,8743,10713,11531,11760,10919,11099,10242,9219,31940
Pella,11262,11825,13431,14132,15507,15168,14304,12077,9592,31322
Chania,10266,11057,13466,13894,14585,13521,12921,11432,9221,30606
Kerkyra,6604,7716,9751,10246,10365,9942,10231,9872,7963,27204
Imathia,10165,10699,13134,14219,14260,12878,12717,12125,9433,26826
Drama,9108,8977,10572,10866,12254,11976,11202,9182,7289,26800
Pieria,10099,10252,11744,13085,14008,13506,12873,10594,8526,25881
Kilki,7765,7732,8829,9267,10724,10878,10123,8122,6725,25599
Voiwtias,7169,8202,10287,10979,10863,10092,10138,8952,8025,23791
Rodopis,9209,9980,11720,12092,11963,11589,10959,9644,8191,22482
Chalkidikis,7628,7792,9541,10424,10738,10179,9657,9108,7876,21276
Argolidos,6327,7324,8877,9138,9263,8843,9322,8557,6859,20989
Chios,3511,4048,5129,5113,5341,5352,5678,5373,4834,19329
Xanthis,10487,11100,12316,12457,11944,11485,10503,8959,6741,19155
Kefalonnias,2888,3308,3912,4212,4633,4858,4973,4503,3837,19051
Artis,5491,6196,7498,7509,7768,7578,7947,7743,6035,18412
Kastorias,3500,4047,4934,5043,5873,5975,6007,4975,4008,18358
Samou,2760,3066,3866,4089,4227,4133,4151,4205,4280,16458
Lasithiou,4954,5366,6501,6676,6326,6155,6072,5506,4776,16198
Rethimnou,5889,5896,7377,7655,7273,6424,6038,5432,4662,14403
Preveza,4858,5250,6539,6674,6525,6198,6670,6424,4942,13306
Fwkidos,2558,2937,3584,3634,3831,3783,3934,3887,3367,13283
Thesprotias,4262,4698,5954,6037,5729,5376,6392,5899,4203,12322
Grevena,2722,2865,3475,3807,4058,3896,4225,3779,2939,11450
Zakynthou,2779,2957,3578,3719,3863,3998,4134,3533,2826,10589
Euritanias,1811,2140,2367,2446,2659,2968,3170,2654,2330,9730
Leukada,1653,2030,2391,2526,2641,2687,2767,2662,2134,7902
